1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,MAX-SEC,SEC-TRD,TRD-FRT,Label
4201.205431,5583.928375,4394.883463,4468.36043,4541.456268,4455.048122,4597.684483,4168.885895,4488.635913,4769.152806,4753.386411,4187.210536,4190.757069,4486.543721,4528.464825,4422.972222,4427.582272,4554.336104,5022.658226,4205.949802,4288.756428,4502.893544,4560.488093,4341.146978,4366.817425,4339.208262,561.270149,253.50542,15.766395,1
6581.323085,8072.03149,6569.256415,6736.515462,6763.91526,7254.13036,6709.588505,6529.546368,6638.386572,7049.442803,7048.146679,6720.849418,6592.925419,6811.552703,6915.226813,6765.01463,6626.439899,6923.195994,7118.530584,6637.70491,6649.021875,6748.577128,6827.478502,6578.332004,6489.824716,6847.299618,817.90113,135.599776,69.087781,1
3621.634287,4243.719486,3624.440289,3568.542794,3812.894802,4058.522401,3558.775206,3258.072892,3503.413474,3737.866407,3669.883948,3745.9468,3581.268807,3597.027757,3503.604294,3620.851925,3452.160741,3730.446844,3754.393119,3483.686896,3534.968345,3499.028066,3405.183512,3668.621395,3582.802565,3439.417123,185.197085,245.627599,58.501683,1
3122.409831,4328.055213,3174.436648,3433.513367,3477.981875,2984.020166,3584.639624,3248.946185,3098.41272,3498.509441,3343.514367,3071.805075,2983.439174,3553.358636,3468.913788,3426.928527,3474.224332,3458.170545,3690.384171,3059.025523,3240.531688,3418.576592,3312.652524,3197.793341,3191.232608,3274.326782,637.671042,105.744547,31.280988,1
6897.890401,8274.384245,6933.209259,7130.70982,7361.644113,7754.584614,6971.599897,6675.46246,7110.129081,7387.537575,7439.455019,7163.904417,6991.968283,6770.553405,7270.765586,7272.149837,6923.851879,7364.810281,7620.629117,7036.127305,7078.59773,7071.882453,7098.940777,7115.419765,7048.738922,7122.398608,519.799631,133.955497,181.174098,1
7597.367363,8946.527534,7410.247653,7643.336293,7806.612967,8092.997878,7686.191832,7506.577185,7631.955455,7985.879407,7832.779569,7767.124094,7266.363148,7821.336457,7912.452959,7707.644875,7515.936587,7800.598844,7949.613502,7230.08934,7410.589483,7604.170567,7829.494728,7578.155902,7416.470119,7296.857057,853.529656,107.118471,36.265905,1
5011.455252,6247.933118,5349.43275,5369.378064,5307.468737,5357.505485,5414.857221,5152.285814,5302.973083,5245.333816,5467.043795,5125.184758,4908.514323,5238.648985,5372.021286,5113.914462,5166.440578,5163.375318,5581.571283,5033.713197,5183.636128,5528.58496,5422.523616,5208.078593,5113.007285,5059.554588,666.361835,52.986323,61.541165,1
4402.352941,5505.424577,4570.802714,4556.087385,4588.580932,4633.86728,4630.765619,4248.630897,4444.132627,4674.835216,4756.759639,4493.210058,4278.618304,4645.826801,4407.047521,4689.450399,4337.623981,4613.998244,4916.483373,4155.910782,4360.570906,4557.162152,4496.699216,4363.420755,4569.968793,4397.652092,588.941204,159.723734,67.30924,1
4235.25422,5135.947487,4444.299617,4360.654541,4626.877747,4891.863427,4562.441289,4157.958528,4553.771373,4540.820839,4620.446391,4293.679438,4530.096819,4269.753284,4430.952287,4397.165071,4430.746384,4585.605532,4679.723366,4285.646812,4349.52581,4382.120473,4464.752351,4390.343975,4474.202552,4377.377685,244.08406,212.140061,52.845619,1
5309.166705,6608.089218,5591.883598,5678.747642,5533.877181,5482.021849,5583.322048,5279.276487,5347.614916,5595.12225,5801.218877,5444.072003,5162.92832,5473.717293,5354.77469,5334.803274,5288.654859,5728.438268,5850.654117,5265.53358,5322.232596,5699.572658,5329.363327,5240.450298,5355.890528,5349.551807,757.435101,49.43524,72.780609,1
4709.344273,5749.283294,4737.811868,4811.820555,4947.494523,5090.362599,4926.890182,4541.014208,4689.897843,4790.19875,4901.390638,4565.78564,4672.397898,4914.975544,4889.111249,4685.077608,4549.452756,4894.711423,5037.679336,4548.71421,4690.368769,4929.304192,4847.55525,4638.325059,4782.583354,4719.952151,658.920695,52.683263,90.184813,1
3778.518746,4762.675771,4078.158262,4095.381045,4088.369898,4153.132275,4170.637106,3648.721582,3740.583211,4041.789261,4029.597894,4027.244116,3694.045902,4116.209331,3809.988761,3809.366678,3829.629845,4169.169439,4101.856264,3697.402776,3832.155698,3923.53423,3822.545019,3646.150162,3774.833259,3746.959944,592.038665,1.467667,16.037164,1
4399.09366,5252.145499,4709.984208,4680.42711,4769.626388,4531.042372,4626.243728,4574.458195,4693.638973,4653.538817,4649.689314,4402.836779,4230.457386,4741.855483,4617.696643,4410.182473,4506.80754,4632.555596,4868.297085,4444.422424,4542.482927,4666.506336,4540.596139,4564.435829,4448.960078,4328.944049,383.848414,98.670697,27.770905,1
3715.25447,4916.996964,3754.071595,3905.819188,4051.432065,3687.091612,4012.597493,3552.900381,3797.268881,3955.778475,4081.260954,3677.681761,3554.207624,4142.804098,4006.797265,3611.654987,3892.849746,4030.693434,4317.218986,3704.785233,3766.060769,3851.248739,3729.325936,3458.271623,3689.066323,3800.621525,599.777978,174.414888,61.543144,1
